,,
,            Frequency,           DB(V(C:2))
,600,-50.96065447
,613.9757954,-50.80364306
,628.2771288,-50.64508652
,642.9115831,-50.48502529
,657.8869177,-50.32349975
,673.2110726,-50.16055006
,688.8921729,-49.99621615
,704.938533,-49.83053764
,721.3586608,-49.66355375
,738.1612625,-49.49530324
,755.3552471,-49.3258244
,772.949731,-49.15515493
,790.9540431,-48.98333194
,809.3777296,-48.81039191
,828.2305588,-48.63637061
,847.5225268,-48.46130311
,867.2638624,-48.28522375
,887.4650329,-48.10816607
,908.1367491,-47.93016285
,929.2899713,-47.75124603
,950.9359155,-47.57144675
,973.0860584,-47.39079529
,995.7521445,-47.20932113
,1018.946191,-47.02705284
,1042.680497,-46.84401817
,1066.967646,-46.66024402
,1091.820515,-46.47575641
,1117.252282,-46.29058054
,1143.276431,-46.10474072
,1169.90676,-45.91826044
,1197.157389,-45.73116237
,1225.042767,-45.54346831
,1253.577679,-45.35519929
,1282.777254,-45.1663755
,1312.656974,-44.97701634
,1343.232683,-44.78714042
,1374.520592,-44.59676558
,1406.537289,-44.40590891
,1439.299751,-44.21458673
,1472.825349,-44.02281464
,1507.131859,-43.8306075
,1542.23747,-43.63797948
,1578.160795,-43.44494404
,1614.920882,-43.25151394
,1652.537222,-43.05770131
,1691.029759,-42.86351757
,1730.418902,-42.66897352
,1770.725536,-42.47407931
,1811.971032,-42.27884447
,1854.17726,-42.0832779
,1897.366596,-41.88738792
,1941.561942,-41.69118222
,1986.786729,-41.49466792
,2033.064937,-41.29785155
,2080.421103,-41.10073906
,2128.880335,-40.90333585
,2178.468329,-40.70564673
,2229.211375,-40.50767599
,2281.136378,-40.30942732
,2334.27087,-40.11090389
,2388.643023,-39.91210832
,2444.281667,-39.71304266
,2501.216301,-39.51370845
,2559.477113,-39.31410665
,2619.094993,-39.11423769
,2680.101553,-38.91410143
,2742.529138,-38.71369719
,2806.410848,-38.51302373
,2871.780554,-38.31207924
,2938.672916,-38.11086133
,3007.123402,-37.90936705
,3077.168304,-37.70759283
,3148.844761,-37.50553452
,3222.190778,-37.30318736
,3297.245243,-37.10054594
,3374.047951,-36.89760424
,3452.639624,-36.69435554
,3533.061932,-36.49079248
,3615.357516,-36.28690698
,3699.570011,-36.08269027
,3785.744067,-35.87813279
,3873.925374,-35.67322426
,3964.160688,-35.46795359
,4056.497852,-35.26230885
,4150.985826,-35.05627727
,4247.674706,-34.8498452
,4346.61576,-34.64299803
,4447.861448,-34.43572021
,4551.46545,-34.22799517
,4657.4827,-34.0198053
,4765.969408,-33.81113187
,4876.983097,-33.601955
,4990.582627,-33.3922536
,5106.828229,-33.18200532
,5225.78154,-32.97118646
,5347.505629,-32.75977193
,5472.065036,-32.54773515
,5599.525805,-32.33504801
,5729.955516,-32.12168074
,5863.423326,-31.90760185
,6000,-31.69277802
,6139.757954,-31.47717403
,6282.771288,-31.26075257
,6429.115831,-31.04347423
,6578.869177,-30.82529727
,6732.110726,-30.60617754
,6888.921729,-30.38606833
,7049.38533,-30.16492017
,7213.586608,-29.94268072
,7381.612625,-29.71929451
