,,
,            Frequency,           P(V(C1:2))
,600,-1.170730095
,613.9757954,-1.198209509
,628.2771288,-1.226344068
,642.9115831,-1.255150121
,657.8869177,-1.284644475
,673.2110726,-1.314844413
,688.8921729,-1.345767712
,704.938533,-1.377432661
,721.3586608,-1.409858078
,738.1612625,-1.443063335
,755.3552471,-1.477068373
,772.949731,-1.511893729
,790.9540431,-1.547560557
,809.3777296,-1.584090654
,828.2305588,-1.621506486
,847.5225268,-1.659831212
,867.2638624,-1.69908872
,887.4650329,-1.739303652
,908.1367491,-1.780501439
,929.2899713,-1.822708334
,950.9359155,-1.86595145
,973.0860584,-1.910258799
,995.7521445,-1.95565933
,1018.946191,-2.002182976
,1042.680497,-2.049860699
,1066.967646,-2.098724538
,1091.820515,-2.148807664
,1117.252282,-2.200144432
,1143.276431,-2.252770446
,1169.90676,-2.306722615
,1197.157389,-2.362039226
,1225.042767,-2.418760015
,1253.577679,-2.476926242
,1282.777254,-2.536580776
,1312.656974,-2.597768181
,1343.232683,-2.660534812
,1374.520592,-2.724928915
,1406.537289,-2.791000735
,1439.299751,-2.858802636
,1472.825349,-2.928389219
,1507.131859,-2.999817464
,1542.23747,-3.073146871
,1578.160795,-3.148439615
,1614.920882,-3.225760716
,1652.537222,-3.305178219
,1691.029759,-3.386763388
,1730.418902,-3.47059092
,1770.725536,-3.556739174
,1811.971032,-3.645290412
,1854.17726,-3.736331076
,1897.366596,-3.829952071
,1941.561942,-3.926249085
,1986.786729,-4.025322931
,2033.064937,-4.127279917
,2080.421103,-4.232232257
,2128.880335,-4.340298511
,2178.468329,-4.45160407
,2229.211375,-4.566281683
,2281.136378,-4.684472035
,2334.27087,-4.806324382
,2388.643023,-4.931997243
,2444.281667,-5.061659165
,2501.216301,-5.195489561
,2559.477113,-5.333679633
,2619.094993,-5.476433389
,2680.101553,-5.623968775
,2742.529138,-5.77651891
,2806.410848,-5.934333472
,2871.780554,-6.097680223
,2938.672916,-6.266846715
,3007.123402,-6.442142178
,3077.168304,-6.623899635
,3148.844761,-6.812478263
,3222.190778,-7.008266037
,3297.245243,-7.211682695
,3374.047951,-7.423183071
,3452.639624,-7.643260859
,3533.061932,-7.872452847
,3615.357516,-8.111343728
,3699.570011,-8.360571546
,3785.744067,-8.620833895
,3873.925374,-8.892894986
,3964.160688,-9.177593733
,4056.497852,-9.475853016
,4150.985826,-9.788690336
,4247.674706,-10.11723011
,4346.61576,-10.46271789
,4447.861448,-10.82653685
,4551.46545,-11.21022701
,4657.4827,-11.61550772
,4765.969408,-12.04430394
,4876.983097,-12.49877725
,4990.582627,-12.98136247
,5106.828229,-13.4948111
,5225.78154,-14.04224299
,5347.505629,-14.6272082
,5472.065036,-15.25376123
,5599.525805,-15.92655053
,5729.955516,-16.65092682
,5863.423326,-17.43307484
,6000,-18.28017409
,6139.757954,-19.2005957
,6282.771288,-20.20414427
,6429.115831,-21.30235573
,6578.869177,-22.50886454
,6732.110726,-23.83985609
,6888.921729,-25.31462239
,7049.38533,-26.95623945
,7213.586608,-28.79238149
,7381.612625,-30.85627529
,7553.552471,-33.18776844
,7729.49731,-35.83442305
,7909.540431,-38.85242327
,8093.777296,-42.3068599
,8282.305588,-46.27057559
,8475.225268,-50.82019319
,8672.638624,-56.02731353
,8874.650329,-61.9426451
,9081.367491,-68.57218882
,9292.899713,-75.8491974
,9509.359155,-83.61353124
,9730.860584,-91.61579563
,9957.521445,-99.55673178
,10189.46191,-107.1503388
,10426.80497,-114.1804273
,10669.67646,-120.525747
,10918.20515,-126.1520993
,11172.52282,-131.0867844
,11432.76431,-135.3913545
,11699.0676,-139.1408978
,11971.57389,-142.4112503
,12250.42767,-145.2724145
,12535.77679,-147.7859291
,12827.77254,-150.0044246
,13126.56974,-151.9722307
,13432.32683,-153.7263964
,13745.20592,-155.2977898
,14065.37289,-156.7121268
,14392.99751,-157.9908701
,14728.25349,-159.1519867
,15071.31859,-160.2105743
,15422.3747,-161.1793735
,15781.60795,-162.069183
,16149.20882,-162.8891981
,16525.37222,-163.6472838
,16910.29759,-164.3501975
,17304.18902,-165.0037708
,17707.25536,-165.6130572
,18119.71032,-166.1824541
,18541.7726,-166.7158031
,18973.66596,-167.2164729
,19415.61942,-167.6874283
,19867.86729,-168.1312874
,20330.64937,-168.5503704
,20804.21103,-168.9467395
,21288.80335,-169.3222334
,21784.68329,-169.6784963
,22292.11375,-170.0170026
,22811.36378,-170.3390779
,23342.7087,-170.6459172
,23886.43023,-170.9386002
,24442.81667,-171.218105
,25012.16301,-171.4853194
,25594.77113,-171.7410513
,26190.94993,-171.9860371
,26801.01553,-172.2209496
,27425.29138,-172.4464047
,28064.10848,-172.6629672
,28717.80554,-172.8711559
,29386.72916,-173.0714486
,30071.23402,-173.2642853
,30771.68304,-173.4500728
,31488.44761,-173.629187
,32221.90778,-173.8019762
,32972.45243,-173.9687638
,33740.47951,-174.1298498
,34526.39624,-174.2855138
,35330.61932,-174.4360159
,36153.57516,-174.5815991
,36995.70011,-174.7224901
,37857.44067,-174.8589012
,38739.25374,-174.991031
,39641.60688,-175.119066
,40564.97852,-175.243181
,41509.85826,-175.3635405
,42476.74706,-175.4802992
,43466.1576,-175.5936028
,44478.61448,-175.7035887
,45514.6545,-175.8103866
,46574.827,-175.9141191
,47659.69408,-176.0149022
,48769.83097,-176.1128456
,49905.82627,-176.2080534
,51068.28229,-176.3006243
,52257.8154,-176.3906521
,53475.05629,-176.4782257
,54720.65036,-176.56343
,55995.25805,-176.6463455
,57299.55516,-176.7270492
,58634.23326,-176.8056143
,60000,-176.8821108
,61397.57954,-176.9566054
,62827.71288,-177.0291621
,64291.15831,-177.0998419
,65788.69177,-177.1687033
,67321.10726,-177.2358022
,68889.21729,-177.3011924
,70493.8533,-177.3649253
,72135.86608,-177.4270505
,73816.12625,-177.4876153
,75535.52471,-177.5466654
,77294.9731,-177.6042446
,79095.40431,-177.6603952
,80937.77296,-177.7151578
,82823.05588,-177.7685715
,84752.25268,-177.8206741
,86726.38624,-177.871502
,88746.50329,-177.9210901
,90813.67491,-177.9694725
,92928.99713,-178.0166818
,95093.59155,-178.0627496
,97308.60584,-178.1077065
,99575.21445,-178.151582
,101894.6191,-178.1944046
,104268.0497,-178.236202
,106696.7646,-178.277001
,109182.0515,-178.3168274
,111725.2282,-178.3557065
,114327.6431,-178.3936625
,116990.676,-178.4307189
,119715.7389,-178.4668988
,122504.2767,-178.5022243
,125357.7679,-178.5367169
,128277.7254,-178.5703975
,131265.6974,-178.6032864
,134323.2683,-178.6354034
,137452.0592,-178.6667675
,140653.7289,-178.6973974
,143929.9751,-178.7273112
,147282.5349,-178.7565264
,150713.1859,-178.7850601
,154223.747,-178.8129289
,157816.0795,-178.8401491
,161492.0882,-178.8667363
,165253.7222,-178.8927059
,169102.9759,-178.9180726
,173041.8902,-178.9428512
,177072.5536,-178.9670556
,181197.1032,-178.9906996
,185417.726,-179.0137966
,189736.6596,-179.0363596
,194156.1942,-179.0584014
,198678.6729,-179.0799343
,203306.4937,-179.1009704
,208042.1103,-179.1215214
,212888.0335,-179.1415989
,217846.8329,-179.1612139
,222921.1375,-179.1803773
,228113.6378,-179.1990999
,233427.087,-179.2173918
,238864.3023,-179.2352633
,244428.1667,-179.2527242
,250121.6301,-179.269784
,255947.7113,-179.2864522
,261909.4993,-179.3027379
,268010.1553,-179.3186499
,274252.9138,-179.334197
,280641.0848,-179.3493877
,287178.0554,-179.3642303
,293867.2916,-179.3787328
,300712.3402,-179.3929032
,307716.8304,-179.4067491
,314884.4761,-179.420278
,322219.0778,-179.4334973
,329724.5243,-179.4464141
,337404.7951,-179.4590355
,345263.9624,-179.4713682
,353306.1932,-179.4834189
,361535.7516,-179.4951941
,369957.0011,-179.5067002
,378574.4067,-179.5179434
,387392.5374,-179.5289297
,396416.0688,-179.539665
,405649.7852,-179.5501551
,415098.5826,-179.5604056
,424767.4706,-179.5704221
,434661.576,-179.5802099
,444786.1448,-179.5897743
,455146.545,-179.5991203
,465748.27,-179.6082531
,476596.9408,-179.6171775
,487698.3097,-179.6258982
,499058.2627,-179.63442
,510682.8229,-179.6427474
,522578.154,-179.6508849
,534750.5629,-179.6588367
,547206.5036,-179.6666072
,559952.5805,-179.6742006
,572995.5516,-179.6816207
,586342.3326,-179.6888717
,600000,-179.6959574
,613975.7954,-179.7028816
,628277.1288,-179.7096479
,642911.5831,-179.71626
,657886.9177,-179.7227214
,673211.0726,-179.7290355
,688892.1729,-179.7352057
,704938.533,-179.7412353
,721358.6608,-179.7471275
,738161.2625,-179.7528855
,755355.2471,-179.7585122
,772949.731,-179.7640108
,790954.0431,-179.7693841
,809377.7296,-179.7746349
,828230.5588,-179.7797662
,847522.5268,-179.7847805
,867263.8624,-179.7896807
,887465.0329,-179.7944692
,908136.7491,-179.7991486
,929289.9713,-179.8037214
,950935.9155,-179.8081901
,973086.0584,-179.812557
,995752.1445,-179.8168245
,1018946.191,-179.8209947
,1042680.497,-179.82507
,1066967.646,-179.8290525
,1091820.515,-179.8329443
,1117252.282,-179.8367474
,1143276.431,-179.840464
,1169906.76,-179.8440959
,1197157.389,-179.8476451
,1225042.767,-179.8511135
,1253577.679,-179.8545029
,1282777.254,-179.8578151
,1312656.974,-179.8610519
,1343232.683,-179.864215
,1374520.592,-179.8673061
,1406537.289,-179.8703268
,1439299.751,-179.8732787
,1472825.349,-179.8761634
,1507131.859,-179.8789825
,1542237.47,-179.8817373
,1578160.795,-179.8844294
,1614920.882,-179.8870603
,1652537.222,-179.8896312
,1691029.759,-179.8921436
,1730418.902,-179.8945988
,1770725.536,-179.8969981
,1811971.032,-179.8993428
,1854177.26,-179.9016341
,1897366.596,-179.9038732
,1941561.942,-179.9060614
,1986786.729,-179.9081997
,2033064.937,-179.9102894
,2080421.103,-179.9123315
,2128880.335,-179.9143271
,2178468.329,-179.9162772
,2229211.375,-179.918183
,2281136.378,-179.9200454
,2334270.87,-179.9218654
,2388643.023,-179.9236439
,2444281.667,-179.925382
,2501216.301,-179.9270805
,2559477.113,-179.9287403
,2619094.993,-179.9303624
,2680101.553,-179.9319475
,2742529.138,-179.9334966
,2806410.848,-179.9350103
,2871780.554,-179.9364897
,2938672.916,-179.9379353
,3007123.402,-179.939348
,3077168.304,-179.9407286
,3148844.761,-179.9420778
,3222190.778,-179.9433962
,3297245.243,-179.9446846
,3374047.951,-179.9459437
,3452639.624,-179.9471741
,3533061.932,-179.9483766
,3615357.516,-179.9495516
,3699570.011,-179.9506999
,3785744.067,-179.9518221
,3873925.374,-179.9529187
,3964160.688,-179.9539903
,4056497.852,-179.9550376
,4150985.826,-179.956061
,4247674.706,-179.9570611
,4346615.76,-179.9580385
,4447861.448,-179.9589936
,4551465.45,-179.959927
,4657482.7,-179.9608391
,4765969.408,-179.9617304
,4876983.097,-179.9626015
,4990582.627,-179.9634528
,5106828.229,-179.9642846
,5225781.54,-179.9650975
,5347505.629,-179.965892
,5472065.036,-179.9666683
,5599525.805,-179.967427
,5729955.516,-179.9681684
,5863423.326,-179.9688929
,6000000,-179.9696009
