,,
,,
,            Frequency,           P(V(C1:2))
,600,-0.2927207165
,613.9757954,-0.2995933232
,628.2771288,-0.306629916
,642.9115831,-0.3138345963
,657.8869177,-0.3212115818
,673.2110726,-0.32876521
,688.8921729,-0.3364999433
,704.938533,-0.3444203733
,721.3586608,-0.3525312258
,738.1612625,-0.3608373659
,755.3552471,-0.3693438032
,772.949731,-0.3780556979
,790.9540431,-0.3869783666
,809.3777296,-0.3961172885
,828.2305588,-0.4054781123
,847.5225268,-0.4150666631
,867.2638624,-0.42488895
,887.4650329,-0.4349511741
,908.1367491,-0.4452597364
,929.2899713,-0.4558212471
,950.9359155,-0.466642535
,973.0860584,-0.4777306571
,995.7521445,-0.4890929095
,1018.946191,-0.5007368386
,1042.680497,-0.5126702528
,1066.967646,-0.5249012357
,1091.820515,-0.5374381589
,1117.252282,-0.5502896972
,1143.276431,-0.5634648434
,1169.90676,-0.576972925
,1197.157389,-0.5908236215
,1225.042767,-0.6050269834
,1253.577679,-0.6195934519
,1282.777254,-0.6345338805
,1312.656974,-0.649859558
,1343.232683,-0.6655822327
,1374.520592,-0.6817141394
,1406.537289,-0.6982680271
,1439.299751,-0.7152571899
,1472.825349,-0.7326954995
,1507.131859,-0.7505974402
,1542.23747,-0.7689781472
,1578.160795,-0.7878534476
,1614.920882,-0.8072399038
,1652.537222,-0.827154862
,1691.029759,-0.8476165032
,1730.418902,-0.8686438992
,1770.725536,-0.8902570727
,1811.971032,-0.912477063
,1854.17726,-0.9353259971
,1897.366596,-0.9588271665
,1941.561942,-0.9830051114
,1986.786729,-1.007885712
,2033.064937,-1.033496289
,2080.421103,-1.059865709
,2128.880335,-1.087024508
,2178.468329,-1.115005017
,2229.211375,-1.143841508
,2281.136378,-1.173570347
,2334.27087,-1.204230164
,2388.643023,-1.235862047
,2444.281667,-1.268509742
,2501.216301,-1.30221989
,2559.477113,-1.33704227
,2619.094993,-1.373030087
,2680.101553,-1.410240275
,2742.529138,-1.448733845
,2806.410848,-1.488576265
,2871.780554,-1.529837885
,2938.672916,-1.572594414
,3007.123402,-1.616927449
,3077.168304,-1.662925072
,3148.844761,-1.710682516
,3222.190778,-1.76030292
,3297.245243,-1.811898176
,3374.047951,-1.86558989
,3452.639624,-1.921510466
,3533.061932,-1.979804349
,3615.357516,-2.04062943
,3699.570011,-2.104158661
,3785.744067,-2.170581897
,3873.925374,-2.240108028
,3964.160688,-2.312967429
,4056.497852,-2.389414799
,4150.985826,-2.469732465
,4247.674706,-2.55423423
,4346.61576,-2.643269889
,4447.861448,-2.737230538
,4551.46545,-2.836554844
,4657.4827,-2.941736498
,4765.969408,-3.053333106
,4876.983097,-3.171976854
,4990.582627,-3.298387384
,5106.828229,-3.433387414
,5225.78154,-3.577921837
,5347.505629,-3.733081201
,5472.065036,-3.900130825
,5599.525805,-4.080547153
,5729.955516,-4.276063568
,5863.423326,-4.488728633
,6000,-4.720980886
,6139.757954,-4.975745917
,6282.771288,-5.256563876
,6429.115831,-5.567759088
,6578.869177,-5.914668891
,6732.110726,-6.303957195
,6888.921729,-6.744051558
,7049.38533,-7.245764182
,7213.586608,-7.823193247
,7381.612625,-8.49506296
,7553.552471,-9.286770725
,7729.49731,-10.23361298
,7909.540431,-11.38605208
,8093.777296,-12.8186752
,8282.305588,-14.64617329
,8475.225268,-17.05344507
,8672.638624,-20.35594398
,8874.650329,-25.12884601
,9081.367491,-32.49772686
,9292.899713,-44.75747391
,9509.359155,-65.88120719
,9730.860584,-96.43767224
,9957.521445,-123.9580082
