Frequency,P(V(C1:1))
600,61.98328048
613.9757954,62.52428517
628.2771288,63.05809904
642.9115831,63.58463088
657.8869177,64.10380061
673.2110726,64.61553894
688.8921729,65.11978712
704.938533,65.61649659
721.3586608,66.10562858
738.1612625,66.58715382
755.3552471,67.06105212
772.949731,67.527312
790.9540431,67.9859303
809.3777296,68.43691178
828.2305588,68.88026874
847.5225268,69.31602062
867.2638624,69.7441936
887.4650329,70.16482022
908.1367491,70.57793899
929.2899713,70.98359401
950.9359155,71.38183461
973.0860584,71.77271501
995.7521445,72.15629391
1018.946191,72.5326342
1042.680497,72.90180261
1066.967646,73.2638694
1091.820515,73.61890803
1117.252282,73.96699491
1143.276431,74.30820906
1169.90676,74.64263187
1197.157389,74.97034685
1225.042767,75.29143935
1253.577679,75.60599636
1282.777254,75.91410627
1312.656974,76.21585865
1343.232683,76.51134407
1374.520592,76.80065389
1406.537289,77.08388011
1439.299751,77.36111516
1472.825349,77.63245179
1507.131859,77.89798291
1542.23747,78.15780142
1578.160795,78.41200011
1614.920882,78.66067156
1652.537222,78.90390797
1691.029759,79.14180112
1730.418902,79.37444223
1770.725536,79.60192189
1811.971032,79.82432999
1854.17726,80.04175562
1897.366596,80.25428699
1941.561942,80.46201144
1986.786729,80.66501529
2033.064937,80.86338384
2080.421103,81.05720132
2128.880335,81.24655083
2178.468329,81.43151433
2229.211375,81.61217256
2281.136378,81.78860505
2334.27087,81.96089007
2388.643023,82.12910463
2444.281667,82.29332443
2501.216301,82.45362385
2559.477113,82.61007595
2619.094993,82.76275244
2680.101553,82.91172366
2742.529138,83.05705859
2806.410848,83.19882485
2871.780554,83.33708866
2938.672916,83.47191486
3007.123402,83.60336689
3077.168304,83.7315068
3148.844761,83.85639526
3222.190778,83.97809152
3297.245243,84.09665343
3374.047951,84.21213747
3452.639624,84.32459869
3533.061932,84.43409076
3615.357516,84.54066594
3699.570011,84.6443751
3785.744067,84.7452677
3873.925374,84.84339181
3964.160688,84.9387941
4056.497852,85.03151983
4150.985826,85.12161286
4247.674706,85.20911564
4346.61576,85.29406921
4447.861448,85.37651318
4551.46545,85.45648574
4657.4827,85.53402365
4765.969408,85.60916222
4876.983097,85.6819353
4990.582627,85.75237526
5106.828229,85.82051298
5225.78154,85.88637784
5347.505629,85.94999768
5472.065036,86.01139877
5599.525805,86.0706058
5729.955516,86.12764182
5863.423326,86.18252824
6000,86.23528475
6139.757954,86.28592929
6282.771288,86.33447797
6429.115831,86.38094508
6578.869177,86.42534291
6732.110726,86.4676818
6888.921729,86.50796996
7049.38533,86.54621341
7213.586608,86.58241588
7381.612625,86.6165787
7553.552471,86.64870066
7729.49731,86.67877785
7909.540431,86.70680355
8093.777296,86.73276797
8282.305588,86.75665815
8475.225268,86.77845764
8672.638624,86.79814635
8874.650329,86.81570017
9081.367491,86.83109073
9292.899713,86.84428503
9509.359155,86.85524505
9730.860584,86.86392729
9957.521445,86.87028231
10189.46191,86.87425413
