Frequency,P(V(C1:1))
600,-0.7083542052
613.9757954,-0.7249837556
628.2771288,-0.7420099959
642.9115831,-0.7594428402
657.8869177,-0.7772924827
673.2110726,-0.7955694072
688.8921729,-0.8142843984
704.938533,-0.8334485527
721.3586608,-0.8530732902
738.1612625,-0.8731703665
755.3552471,-0.8937518863
772.949731,-0.9148303168
790.9540431,-0.936418502
809.3777296,-0.958529678
828.2305588,-0.9811774894
847.5225268,-1.004376006
867.2638624,-1.028139739
887.4650329,-1.052483665
908.1367491,-1.077423239
929.2899713,-1.102974422
950.9359155,-1.1291537
973.0860584,-1.155978108
995.7521445,-1.183465256
1018.946191,-1.211633357
1042.680497,-1.240501255
1066.967646,-1.270088453
1091.820515,-1.300415149
1117.252282,-1.331502269
1143.276431,-1.363371502
1169.90676,-1.396045343
1197.157389,-1.429547131
1225.042767,-1.463901097
1253.577679,-1.49913241
1282.777254,-1.535267228
1312.656974,-1.572332753
1343.232683,-1.610357292
1374.520592,-1.649370316
1406.537289,-1.689402529
1439.299751,-1.730485945
1472.825349,-1.772653958
1507.131859,-1.815941431
1542.23747,-1.860384789
1578.160795,-1.906022107
1614.920882,-1.952893227
1652.537222,-2.001039862
1691.029759,-2.050505722
1730.418902,-2.101336648
1770.725536,-2.153580753
1811.971032,-2.20728858
1854.17726,-2.262513267
1897.366596,-2.319310735
1941.561942,-2.377739884
1986.786729,-2.437862808
2033.064937,-2.499745035
2080.421103,-2.563455783
2128.880335,-2.629068239
2178.468329,-2.696659868
2229.211375,-2.766312748
2281.136378,-2.838113939
2334.27087,-2.912155887
2388.643023,-2.988536866
2444.281667,-3.06736147
2501.216301,-3.148741148
2559.477113,-3.232794798
2619.094993,-3.319649425
2680.101553,-3.409440866
2742.529138,-3.502314595
2806.410848,-3.598426618
2871.780554,-3.697944469
2938.672916,-3.801048317
3007.123402,-3.907932205
3077.168304,-4.018805436
3148.844761,-4.133894129
3222.190778,-4.253442963
3297.245243,-4.377717141
3374.047951,-4.507004616
3452.639624,-4.641618596
3533.061932,-4.781900394
3615.357516,-4.928222672
3699.570011,-5.08099313
3785.744067,-5.240658731
3873.925374,-5.407710551
3964.160688,-5.582689355
4056.497852,-5.766192028
4150.985826,-5.958879036
4247.674706,-6.161483089
4346.61576,-6.374819255
4447.861448,-6.599796799
4551.46545,-6.837433121
4657.4827,-7.088870203
4765.969408,-7.355394144
4876.983097,-7.638458439
4990.582627,-7.939711891
5106.828229,-8.261032228
5225.78154,-8.604566851
5347.505629,-8.972782491
5472.065036,-9.368526135
5599.525805,-9.79510026
5729.955516,-10.25635641
5863.423326,-10.75681247
6000,-11.30180081
6139.757954,-11.89765699
6282.771288,-12.55196245
6429.115831,-13.27385936
6578.869177,-14.07446349
6732.110726,-14.96741114
6888.921729,-15.96959191
7049.38533,-17.10214143
7213.586608,-18.39180188
7381.612625,-19.8728072
7553.552471,-21.58952148
7729.49731,-23.60015855
7909.540431,-25.98203695
8093.777296,-28.8389422
8282.305588,-32.31113341
8475.225268,-36.58787702
8672.638624,-41.91979108
8874.650329,-48.62052722
9081.367491,-57.02904126
9292.899713,-67.37673612
9509.359155,-79.51843084
9730.860584,-92.66951235
9957.521445,-105.5509332
10189.46191,-117.025502
10426.80497,-126.5813563
10669.67646,-134.2638725
10918.20515,-140.3725454
