Frequency,DB(V(C1:1))@1,DB(V(C1:1))@2,DB(V(C1:1))@3
600,-52.74588001,-58.76177156,-64.7800197
613.9757954,-52.58886809,-58.60475883,-64.62300673
628.2771288,-52.43031102,-58.44620091,-64.46444855
642.9115831,-52.27024923,-58.28613824,-64.30438562
657.8869177,-52.1087231,-58.12461118,-64.14285828
673.2110726,-51.9457728,-57.96165991,-63.97990671
688.8921729,-51.78143825,-57.79732435,-63.81557084
704.938533,-51.61575907,-57.6316441,-63.64989027
721.3586608,-51.44877447,-57.46465839,-63.48290423
738.1612625,-51.28052323,-57.29640598,-63.31465147
755.3552471,-51.11104362,-57.12692515,-63.14517026
772.949731,-50.94037334,-56.95625359,-62.97449832
790.9540431,-50.7685495,-56.78442842,-62.80267274
809.3777296,-50.59560858,-56.61148609,-62.62972999
828.2305588,-50.42158636,-56.43746239,-62.45570584
847.5225268,-50.24651789,-56.26239239,-62.28063537
867.2638624,-50.07043751,-56.0863104,-62.10455289
887.4650329,-49.89337877,-55.90924997,-61.92749195
908.1367491,-49.71537443,-55.73124386,-61.74948531
929.2899713,-49.53645644,-55.55232402,-61.57056491
950.9359155,-49.35665593,-55.37252158,-61.39076188
973.0860584,-49.1760032,-55.19186681,-61.2101065
995.7521445,-48.99452769,-55.01038917,-61.02862822
1018.946191,-48.81225799,-54.82811725,-60.84635562
1042.680497,-48.62922185,-54.64507878,-60.66331644
1066.967646,-48.44544616,-54.46130064,-60.47953757
1091.820515,-48.26095694,-54.27680887,-60.29504501
1117.252282,-48.07577937,-54.09162861,-60.10986395
1143.276431,-47.88993777,-53.90578422,-59.9240187
1169.90676,-47.70345564,-53.71929915,-59.73753274
1197.157389,-47.51635562,-53.53219605,-59.55042871
1225.042767,-47.32865954,-53.34449673,-59.36272842
1253.577679,-47.14038838,-53.1562222,-59.17445286
1282.777254,-46.95156235,-52.96739264,-58.98562223
1312.656974,-46.76220085,-52.77802743,-58.7962559
1343.232683,-46.57232248,-52.58814518,-58.60637247
1374.520592,-46.38194508,-52.39776371,-58.41598977
1406.537289,-46.19108571,-52.20690009,-58.22512486
1439.299751,-45.99976072,-52.01557063,-58.03379405
1472.825349,-45.80798567,-51.82379091,-57.84201291
1507.131859,-45.61577545,-51.63157579,-57.64979631
1542.23747,-45.42314419,-51.4389394,-57.45715837
1578.160795,-45.23010535,-51.24589519,-57.26411253
1614.920882,-45.0366717,-51.05245591,-57.07067155
1652.537222,-44.84285534,-50.85863366,-56.87684751
1691.029759,-44.6486677,-50.66443984,-56.68265181
1730.418902,-44.45411956,-50.46988522,-56.48809524
1770.725536,-44.25922107,-50.27497995,-56.29318792
1811.971032,-44.06398174,-50.07973352,-56.09793933
1854.17726,-43.86841048,-49.88415481,-55.90235837
1897.366596,-43.67251557,-49.6882521,-55.7064533
1941.561942,-43.47630471,-49.49203307,-55.51023179
1986.786729,-43.279785,-49.2955048,-55.31370093
2033.064937,-43.08296296,-49.09867378,-55.11686719
2080.421103,-42.88584453,-48.90154595,-54.91973652
2128.880335,-42.68843509,-48.70412666,-54.72231424
2178.468329,-42.49073945,-48.50642069,-54.52460514
2229.211375,-42.29276187,-48.30843228,-54.32661346
2281.136378,-42.09450603,-48.1101651,-54.12834284
2334.27087,-41.89597509,-47.91162227,-53.92979641
2388.643023,-41.69717165,-47.71280636,-53.73097673
2444.281667,-41.49809774,-47.51371939,-53.5318858
2501.216301,-41.29875488,-47.31436283,-53.33252509
2559.477113,-41.09914401,-47.1147376,-53.13289552
2619.094993,-40.89926553,-46.91484407,-52.93299743
2680.101553,-40.6991193,-46.71468205,-52.73283064
2742.529138,-40.49870461,-46.51425081,-52.53239439
2806.410848,-40.29802019,-46.31354904,-52.33168736
2871.780554,-40.0970642,-46.11257485,-52.13070766
2938.672916,-39.89583423,-45.9113258,-51.92945284
3007.123402,-39.6943273,-45.70979885,-51.72791983
3077.168304,-39.49253982,-45.50799038,-51.526105
3148.844761,-39.2904676,-45.30589613,-51.3240041
3222.190778,-39.08810584,-45.10351127,-51.12161224
3297.245243,-38.88544911,-44.9008303,-50.91892394
