Frequency,DB(V(C1:1))
600,-58.76177156
613.9757954,-58.60475883
628.2771288,-58.44620091
642.9115831,-58.28613824
657.8869177,-58.12461118
673.2110726,-57.96165991
688.8921729,-57.79732435
704.938533,-57.6316441
721.3586608,-57.46465839
738.1612625,-57.29640598
755.3552471,-57.12692515
772.949731,-56.95625359
790.9540431,-56.78442842
809.3777296,-56.61148609
828.2305588,-56.43746239
847.5225268,-56.26239239
867.2638624,-56.0863104
887.4650329,-55.90924997
908.1367491,-55.73124386
929.2899713,-55.55232402
950.9359155,-55.37252158
973.0860584,-55.19186681
995.7521445,-55.01038917
1018.946191,-54.82811725
1042.680497,-54.64507878
1066.967646,-54.46130064
1091.820515,-54.27680887
1117.252282,-54.09162861
1143.276431,-53.90578422
1169.90676,-53.71929915
1197.157389,-53.53219605
1225.042767,-53.34449673
1253.577679,-53.1562222
1282.777254,-52.96739264
1312.656974,-52.77802743
1343.232683,-52.58814518
1374.520592,-52.39776371
1406.537289,-52.20690009
1439.299751,-52.01557063
1472.825349,-51.82379091
1507.131859,-51.63157579
1542.23747,-51.4389394
1578.160795,-51.24589519
1614.920882,-51.05245591
1652.537222,-50.85863366
1691.029759,-50.66443984
1730.418902,-50.46988522
1770.725536,-50.27497995
1811.971032,-50.07973352
1854.17726,-49.88415481
1897.366596,-49.6882521
1941.561942,-49.49203307
1986.786729,-49.2955048
2033.064937,-49.09867378
2080.421103,-48.90154595
2128.880335,-48.70412666
2178.468329,-48.50642069
2229.211375,-48.30843228
2281.136378,-48.1101651
2334.27087,-47.91162227
2388.643023,-47.71280636
2444.281667,-47.51371939
2501.216301,-47.31436283
2559.477113,-47.1147376
2619.094993,-46.91484407
2680.101553,-46.71468205
2742.529138,-46.51425081
2806.410848,-46.31354904
2871.780554,-46.11257485
2938.672916,-45.9113258
3007.123402,-45.70979885
3077.168304,-45.50799038
3148.844761,-45.30589613
3222.190778,-45.10351127
3297.245243,-44.9008303
3374.047951,-44.69784709
3452.639624,-44.49455484
3533.061932,-44.29094607
3615.357516,-44.0870126
3699.570011,-43.88274553
3785.744067,-43.67813519
3873.925374,-43.47317115
3964.160688,-43.26784219
4056.497852,-43.06213624
4150.985826,-42.85604037
4247.674706,-42.64954074
4346.61576,-42.4426226
4447.861448,-42.2352702
4551.46545,-42.02746678
4657.4827,-41.81919451
4765.969408,-41.61043444
4876.983097,-41.40116646
4990.582627,-41.19136923
5106.828229,-40.98102013
5225.78154,-40.77009517
5347.505629,-40.55856897
5472.065036,-40.34641462
5599.525805,-40.13360367
5729.955516,-39.92010598
5863.423326,-39.70588966
6000,-39.490921
6139.757954,-39.27516429
6282.771288,-39.05858178
6429.115831,-38.84113351
6578.869177,-38.6227772
6732.110726,-38.40346811
6888.921729,-38.18315888
7049.38533,-37.96179937
7213.586608,-37.73933647
7381.612625,-37.51571394
7553.552471,-37.29087217
7729.49731,-37.06474796
7909.540431,-36.83727431
8093.777296,-36.60838011
8282.305588,-36.3779899
8475.225268,-36.14602352
8672.638624,-35.91239579
8874.650329,-35.67701613
9081.367491,-35.43978817
9292.899713,-35.2006093
9509.359155,-34.95937018
9730.860584,-34.7159542
9957.521445,-34.47023693
10189.46191,-34.22208541
10426.80497,-33.9713575
10669.67646,-33.71790106
10918.20515,-33.46155305
11172.52282,-33.20213859
11432.76431,-32.93946989
11699.0676,-32.67334497
11971.57389,-32.40354635
12250.42767,-32.12983953
12535.77679,-31.85197124
12827.77254,-31.56966753
13126.56974,-31.28263156
13432.32683,-30.99054108
13745.20592,-30.69304564
14065.37289,-30.38976329
14392.99751,-30.08027684
14728.25349,-29.76412959
15071.31859,-29.44082029
15422.3747,-29.10979735
15781.60795,-28.77045207
16149.20882,-28.42211065
16525.37222,-28.06402483
16910.29759,-27.69536067
17304.18902,-27.31518524
17707.25536,-26.92245062
18119.71032,-26.51597443
18541.7726,-26.09441622
18973.66596,-25.65624835
19415.61942,-25.19971987
19867.86729,-24.72281134
20330.64937,-24.22317765
20804.21103,-23.69807479
21288.80335,-23.14426511
21784.68329,-22.55789275
22292.11375,-21.93431763
22811.36378,-21.26789039
23342.7087,-20.55164158
23886.43023,-19.77684337
24442.81667,-18.93237738
25012.16301,-18.00379916
25594.77113,-16.97191463
26190.94993,-15.81055005
26801.01553,-14.48296148
27425.29138,-12.9359676
28064.10848,-11.09071451
28717.80554,-8.832193986
29386.72916,-6.03283319
30071.23402,-2.910368558
30771.68304,-1.665922573
31488.44761,-4.064382901
32221.90778,-7.16202411
32972.45243,-9.74610328
33740.47951,-11.83203359
34526.39624,-13.55284959
35330.61932,-15.00905894
36153.57516,-16.26846527
36995.70011,-17.37713288
37857.44067,-18.36725583
38739.25374,-19.26202856
39641.60688,-20.07863478
40564.97852,-20.83012215
41509.85826,-21.52661218
42476.74706,-22.17610408
43466.1576,-22.78502339
44478.61448,-23.3586057
45514.6545,-23.90117107
46574.827,-24.41632411
47659.69408,-24.90710261
48769.83097,-25.37608962
49905.82627,-25.82549928
51068.28229,-26.25724335
52257.8154,-26.67298349
53475.05629,-27.07417269
54720.65036,-27.46208853
55995.25805,-27.83786001
57299.55516,-28.20248956
58634.23326,-28.55687101
60000,-28.90180454
61397.57954,-29.23800917
62827.71288,-29.56613318
64291.15831,-29.88676295
65788.69177,-30.20043045
67321.10726,-30.50761961
68889.21729,-30.80877184
70493.8533,-31.10429073
72135.86608,-31.39454611
73816.12625,-31.67987765
75535.52471,-31.96059791
77294.9731,-32.23699505
79095.40431,-32.50933523
80937.77296,-32.77786469
82823.05588,-33.04281162
84752.25268,-33.30438777
86726.38624,-33.56278994
88746.50329,-33.81820126
90813.67491,-34.07079237
92928.99713,-34.32072246
95093.59155,-34.56814021
97308.60584,-34.81318462
99575.21445,-35.05598579
101894.6191,-35.29666558
104268.0497,-35.53533829
106696.7646,-35.77211115
109182.0515,-36.00708491
111725.2282,-36.24035426
114327.6431,-36.47200827
116990.676,-36.70213081
119715.7389,-36.93080086
122504.2767,-37.1580929
125357.7679,-37.38407714
128277.7254,-37.60881987
131265.6974,-37.83238367
134323.2683,-38.05482768
137452.0592,-38.27620778
140653.7289,-38.49657681
143929.9751,-38.7159848
147282.5349,-38.93447907
150713.1859,-39.15210443
154223.747,-39.36890335
157816.0795,-39.58491604
161492.0882,-39.80018066
165253.7222,-40.01473337
169102.9759,-40.22860847
173041.8902,-40.44183851
177072.5536,-40.65445441
181197.1032,-40.86648548
185417.726,-41.0779596
189736.6596,-41.28890322
194156.1942,-41.4993415
198678.6729,-41.70929834
203306.4937,-41.91879644
208042.1103,-42.12785741
212888.0335,-42.3365018
217846.8329,-42.54474913
222921.1375,-42.752618
228113.6378,-42.96012609
233427.087,-43.16729023
238864.3023,-43.37412645
244428.1667,-43.58064998
250121.6301,-43.78687536
255947.7113,-43.9928164
261909.4993,-44.19848628
268010.1553,-44.40389753
274252.9138,-44.60906211
280641.0848,-44.81399138
287178.0554,-45.0186962
293867.2916,-45.22318691
300712.3402,-45.42747334
307716.8304,-45.63156488
314884.4761,-45.83547049
322219.0778,-46.03919868
329724.5243,-46.24275758
337404.7951,-46.44615496
345263.9624,-46.64939819
353306.1932,-46.85249433
361535.7516,-47.05545009
369957.0011,-47.25827189
378574.4067,-47.46096583
387392.5374,-47.66353775
396416.0688,-47.8659932
405649.7852,-48.0683375
415098.5826,-48.2705757
424767.4706,-48.47271263
434661.576,-48.67475289
444786.1448,-48.87670087
455146.545,-49.07856078
465748.27,-49.28033661
476596.9408,-49.48203217
487698.3097,-49.68365112
499058.2627,-49.88519692
510682.8229,-50.08667289
522578.154,-50.2880822
534750.5629,-50.48942787
547206.5036,-50.69071277
559952.5805,-50.89193967
572995.5516,-51.09311119
586342.3326,-51.29422984
600000,-51.495298
