Frequency,DB(V(C1:1))
600,0.03273067565
613.9757954,0.03427614742
628.2771288,0.03589473771
642.9115831,0.03758991986
657.8869177,0.03936533357
673.2110726,0.04122479298
688.8921729,0.04317229521
704.938533,0.04521202923
721.3586608,0.04734838533
738.1612625,0.04958596489
755.3552471,0.05192959083
772.949731,0.05438431843
790.9540431,0.05695544685
809.3777296,0.05964853109
828.2305588,0.06246939471
847.5225268,0.06542414314
867.2638624,0.06851917765
887.4650329,0.07176121014
908.1367491,0.07515727861
929.2899713,0.07871476352
950.9359155,0.08244140496
973.0860584,0.08634532081
995.7521445,0.09043502576
1018.946191,0.09471945145
1042.680497,0.09920796767
1066.967646,0.1039104047
1091.820515,0.1088370768
1117.252282,0.1139988073
1143.276431,0.1194069546
1169.90676,0.1250734399
1197.157389,0.1310107767
1225.042767,0.1372321015
1253.577679,0.1437512065
1282.777254,0.1505825742
1312.656974,0.1577414141
1343.232683,0.1652437009
1374.520592,0.1731062163
1406.537289,0.1813465914
1439.299751,0.1899833536
1472.825349,0.1990359745
1507.131859,0.2085249226
1542.23747,0.2184717172
1578.160795,0.2288989876
1614.920882,0.2398305345
1652.537222,0.2512913964
1691.029759,0.2633079191
1730.418902,0.2759078312
1770.725536,0.2891203232
1811.971032,0.3029761323
1854.17726,0.3175076335
1897.366596,0.3327489356
1941.561942,0.3487359855
1986.786729,0.3655066779
2033.064937,0.3831009743
2080.421103,0.4015610297
2128.880335,0.4209313286
2178.468329,0.4412588315
2229.211375,0.4625931312
2281.136378,0.4849866226
2334.27087,0.5084946838
2388.643023,0.5331758727
2444.281667,0.5590921384
2501.216301,0.5863090501
2559.477113,0.614896044
2619.094993,0.6449266919
2680.101553,0.6764789913
2742.529138,0.7096356814
2806.410848,0.7444845861
2871.780554,0.7811189878
2938.672916,0.8196380353
3007.123402,0.8601471889
3077.168304,0.9027587076
3148.844761,0.9475921834
3222.190778,0.9947751265
3297.245243,1.04444361
3374.047951,1.096742981
3452.639624,1.15182864
3533.061932,1.209866911
3615.357516,1.271035999
3699.570011,1.335527055
3785.744067,1.403545361
3873.925374,1.475311649
3964.160688,1.55106358
4056.497852,1.631057395
4150.985826,1.71556977
4247.674706,1.804899907
4346.61576,1.899371888
4447.861448,1.999337341
4551.46545,2.105178468
4657.4827,2.217311481
4765.969408,2.336190527
4876.983097,2.462312179
4990.582627,2.596220589
5106.828229,2.738513411
5225.78154,2.88984865
5347.505629,3.050952574
5472.065036,3.222628916
5599.525805,3.40576956
5729.955516,3.601367028
5863.423326,3.810529049
6000,4.034495611
6139.757954,4.274658897
6282.771288,4.532586556
6429.115831,4.810048744
6578.869177,5.109049271
6732.110726,5.431860897
6888.921729,5.781064206
7049.38533,6.159588124
7213.586608,6.570747505
7381.612625,7.018267923
7553.552471,7.506277541
7729.49731,8.03922574
7909.540431,8.621648775
8093.777296,9.257625617
8282.305588,9.949618769
8475.225268,10.69612171
8672.638624,11.48708946
