Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-06
Horizontal Delay,-4e-06
Sample Interval,8e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.400000e-05,-0.243563
-4.399920e-05,-0.241813
-4.399840e-05,-0.242
-4.399760e-05,-0.235969
-4.399680e-05,-0.236187
-4.399600e-05,-0.232281
-4.399520e-05,-0.240156
-4.399440e-05,-0.237719
-4.399360e-05,-0.245781
-4.399280e-05,-0.250312
-4.399200e-05,-0.248844
-4.399120e-05,-0.24575
-4.399040e-05,-0.242688
-4.398960e-05,-0.243219
-4.398880e-05,-0.234875
-4.398800e-05,-0.245594
-4.398720e-05,-0.236031
-4.398640e-05,-0.235281
-4.398560e-05,-0.236563
-4.398480e-05,-0.245594
-4.398400e-05,-0.242125
-4.398320e-05,-0.246
-4.398240e-05,-0.248312
-4.398160e-05,-0.249281
-4.398080e-05,-0.248656
-4.398000e-05,-0.241531
-4.397920e-05,-0.242531
-4.397840e-05,-0.241281
-4.397760e-05,-0.237969
-4.397680e-05,-0.240625
-4.397600e-05,-0.240187
-4.397520e-05,-0.236531
-4.397440e-05,-0.240719
-4.397360e-05,-0.245688
-4.397280e-05,-0.251094
-4.397200e-05,-0.252969
-4.397120e-05,-0.253188
-4.397040e-05,-0.244656
-4.396960e-05,-0.243813
-4.396880e-05,-0.241813
-4.396800e-05,-0.238781
-4.396720e-05,-0.244719
-4.396640e-05,-0.237531
-4.396560e-05,-0.240656
-4.396480e-05,-0.239656
-4.396400e-05,-0.24675
-4.396320e-05,-0.245469
-4.396240e-05,-0.245875
-4.396160e-05,-0.254344
-4.396080e-05,-0.253156
-4.396000e-05,-0.257375
-4.395920e-05,-0.251969
-4.395840e-05,-0.249719
-4.395760e-05,-0.241531
-4.395680e-05,-0.24075
-4.395600e-05,-0.242156
-4.395520e-05,-0.241063
-4.395440e-05,-0.242531
-4.395360e-05,-0.245469
-4.395280e-05,-0.242
-4.395200e-05,-0.252594
-4.395120e-05,-0.257
-4.395040e-05,-0.252688
-4.394960e-05,-0.249594
-4.394880e-05,-0.249281
-4.394800e-05,-0.24475
-4.394720e-05,-0.247938
-4.394640e-05,-0.245156
-4.394560e-05,-0.238406
-4.394480e-05,-0.239437
-4.394400e-05,-0.251375
-4.394320e-05,-0.244469
-4.394240e-05,-0.252406
-4.394160e-05,-0.246281
-4.394080e-05,-0.254063
-4.394000e-05,-0.254156
-4.393920e-05,-0.251656
-4.393840e-05,-0.253281
-4.393760e-05,-0.246969
-4.393680e-05,-0.247188
-4.393600e-05,-0.245531
-4.393520e-05,-0.242406
-4.393440e-05,-0.243094
-4.393360e-05,-0.236219
-4.393280e-05,-0.244125
-4.393200e-05,-0.253688
-4.393120e-05,-0.256781
-4.393040e-05,-0.251875
-4.392960e-05,-0.247563
-4.392880e-05,-0.253469
-4.392800e-05,-0.247125
-4.392720e-05,-0.248625
-4.392640e-05,-0.244469
-4.392560e-05,-0.244438
-4.392480e-05,-0.245719
-4.392400e-05,-0.242031
-4.392320e-05,-0.249344
-4.392240e-05,-0.250875
-4.392160e-05,-0.25175
-4.392080e-05,-0.252844
-4.392000e-05,-0.255063
-4.391920e-05,-0.248781
-4.391840e-05,-0.24625
-4.391760e-05,-0.249188
-4.391680e-05,-0.245625
-4.391600e-05,-0.243594
-4.391520e-05,-0.243469
-4.391440e-05,-0.244469
-4.391360e-05,-0.24475
-4.391280e-05,-0.247719
-4.391200e-05,-0.246375
-4.391120e-05,-0.248875
-4.391040e-05,-0.251688
-4.390960e-05,-0.254875
-4.390880e-05,-0.250906
